producto_id,codigo,nombre,categoria,monto_neto_total,pct_monto,pct_acum,clase_abc,clase_sb,pct_ceros,adi,n_periodos
10,PANEL-CIPRES,PANEL CIPRES,Paneles exteriores,154623294.12,11.67,11.67,A,erratica,23.5,1.31,187
6,TERC-EST-18N,Terc Estr 18mm N,Terciados,137476092.55,10.37,22.04,A,irregular,39.3,1.65,214
1,SPC-DARK,SPC DARK,Pisos SPC,129286540.24,9.75,31.79,A,irregular,36.0,1.56,214
13,PANEL-GREY,PANEL GREY,Paneles exteriores,129119823.6,9.74,41.53,A,irregular,32.1,1.47,187
26,MARMO-BLANCA,Marmolisima Blanca,Revestimientos murales,102427008.79,7.73,49.26,A,erratica,15.0,1.18,133
3,SPC-GREY,SPC GREY,Pisos SPC,74346781.29,5.61,54.87,A,irregular,37.4,1.6,214
4,TERC-EST-15,Terc Estr 15mm,Terciados,71102899.0,5.36,60.24,A,irregular,28.6,1.4,213
14,PANEL-ALERCE,PANEL ALERCE,Paneles exteriores,60183352.95,4.54,64.78,A,irregular,59.6,2.48,161
27,MARMO-GRIS,Marmolisima Gris,Revestimientos murales,57497370.15,4.34,69.11,A,erratica,18.9,1.23,132
11,PANEL-BLACK,PANEL BLACK,Paneles exteriores,52125647.09,3.93,73.05,A,irregular,59.4,2.46,187
2,SPC-MEDIUM,SPC MEDIUM,Pisos SPC,49012709.13,3.7,76.74,A,irregular,63.6,2.74,214
16,ELM-LIGHT,ELM Light Claro,Paneles interiores,29169789.94,2.2,78.95,A,erratica,20.9,1.26,134
30,MARMO-AZUL,Marmolisima Azul,Revestimientos murales,25078336.31,1.89,80.84,B,irregular,34.8,1.53,112
66,ROLLETE-96,Rollete 96,Accesorios,20981890.72,1.58,82.42,B,irregular,45.6,1.84,215
29,MARMO-NEGRA,Marmolisima Negra,Revestimientos murales,19365731.37,1.46,83.88,B,irregular,35.7,1.56,112
22,T111-DARK,T1-11 Dark,Paneles interiores,18956588.25,1.43,85.31,B,irregular,31.2,1.45,112
12,PANEL-NEW-BLACK,PANEL NEW BLACK,Paneles exteriores,15801957.94,1.19,86.5,B,irregular,59.5,2.47,42
7,TERC-EST-18-2DA,Terc Estr 18mm 2da,Terciados,14616882.3,1.1,87.61,B,irregular,75.3,4.06,215
28,MARMO-TRAVERTINO,Marmolisima Travertino,Revestimientos murales,13224680.74,1.0,88.6,B,irregular,58.0,2.38,112
18,ELM-AGED,ELM AGED,Paneles interiores,13067260.5,0.99,89.59,B,irregular,27.2,1.37,81
21,T111-CHERRY,T1-11 Cherry,Paneles interiores,11980000.04,0.9,90.49,B,irregular,52.7,2.11,112
33,PANEL-WHITE-INT,Panel White Interior,Revestimientos murales,11936571.48,0.9,91.4,B,irregular,61.2,2.58,98
65,LANA-VIDRIO,Lana de Vidrio,Aislación,11164857.03,0.84,92.24,B,irregular,59.2,2.45,191
37,PERFIL-H-GREY,Perfil H Grey,Perfiles y terminaciones,9019739.37,0.68,92.92,B,erratica,17.0,1.2,112
