modelo,mape,wape,mape_acum,n_folds,serie_id,nivel,granularidad,monto_total,nombre
media-movil-8,67.59,66.36,41.79,7,1.0,producto,mensual,129286540.24,SPC DARK
naive-estacional,85.26,74.2,70.07,7,1.0,producto,mensual,129286540.24,SPC DARK
media-movil-8,47.49,48.37,35.31,7,2.0,producto,mensual,49012709.13,SPC MEDIUM
naive-estacional,56.06,60.63,55.21,7,2.0,producto,mensual,49012709.13,SPC MEDIUM
media-movil-8,60.96,65.48,30.31,7,3.0,producto,mensual,74346781.29,SPC GREY
naive-estacional,74.6,80.12,36.14,7,3.0,producto,mensual,74346781.29,SPC GREY
media-movil-8,448.07,267.34,267.34,7,4.0,producto,mensual,71085260.34,Terc Estr 15mm
naive-estacional,453.45,338.26,286.23,7,4.0,producto,mensual,71085260.34,Terc Estr 15mm
media-movil-8,71.96,143.5,80.46,7,5.0,producto,mensual,5856579.82,Terc Estr 15mm 2da
naive-estacional,68.97,84.31,37.37,7,5.0,producto,mensual,5856579.82,Terc Estr 15mm 2da
media-movil-8,68.54,89.39,56.65,7,6.0,producto,mensual,137476092.55,Terc Estr 18mm N
naive-estacional,63.64,67.83,48.59,7,6.0,producto,mensual,137476092.55,Terc Estr 18mm N
media-movil-8,350.09,1962.76,1932.87,7,7.0,producto,mensual,14616882.3,Terc Estr 18mm 2da
naive-estacional,110.99,2078.92,1968.57,7,7.0,producto,mensual,14616882.3,Terc Estr 18mm 2da
media-movil-8,,,,7,9.0,producto,mensual,352764.71,Terc Ran 9mm
naive-estacional,,,,7,9.0,producto,mensual,352764.71,Terc Ran 9mm
media-movil-8,53.28,44.01,25.72,7,10.0,producto,mensual,154623294.12,PANEL CIPRES
naive-estacional,68.27,58.32,12.81,7,10.0,producto,mensual,154623294.12,PANEL CIPRES
media-movil-8,360.23,297.54,218.46,7,11.0,producto,mensual,52125647.09,PANEL BLACK
naive-estacional,919.34,387.77,356.2,7,11.0,producto,mensual,52125647.09,PANEL BLACK
media-movil-8,363.67,100.75,41.01,7,13.0,producto,mensual,129119823.6,PANEL GREY
naive-estacional,371.58,101.72,31.9,7,13.0,producto,mensual,129119823.6,PANEL GREY
media-movil-8,210.4,81.44,51.75,7,14.0,producto,mensual,60183352.95,PANEL ALERCE
naive-estacional,331.12,113.27,75.24,7,14.0,producto,mensual,60183352.95,PANEL ALERCE
media-movil-8,116.0,72.24,29.91,7,16.0,producto,mensual,29169789.94,ELM Light Claro
naive-estacional,156.15,121.41,38.17,7,16.0,producto,mensual,29169789.94,ELM Light Claro
media-movil-8,177.84,96.42,70.38,7,17.0,producto,mensual,5949731.09,ELM Grey
naive-estacional,389.28,249.91,231.7,7,17.0,producto,mensual,5949731.09,ELM Grey
