modelo,mape,wape,mape_acum,n_folds,serie_id,nivel,granularidad,monto_total,nombre
media-movil-8,277.76,106.8,73.53,11,1.0,categoria,semanal,252646030.66,Pisos SPC
naive-estacional,128.14,92.01,60.64,11,1.0,categoria,semanal,252646030.66,Pisos SPC
media-movil-8,486.96,307.99,284.85,11,2.0,categoria,semanal,229387579.72,Terciados
naive-estacional,534.33,205.69,180.76,11,2.0,categoria,semanal,229387579.72,Terciados
media-movil-8,343.74,69.58,33.29,11,3.0,categoria,semanal,411854075.7,Paneles exteriores
naive-estacional,255.63,98.46,39.71,11,3.0,categoria,semanal,411854075.7,Paneles exteriores
media-movil-8,99.91,55.13,30.02,11,4.0,categoria,semanal,94098369.86,Paneles interiores
naive-estacional,119.5,72.87,35.07,11,4.0,categoria,semanal,94098369.86,Paneles interiores
media-movil-8,105.18,53.04,37.6,11,5.0,categoria,semanal,245335312.37,Revestimientos murales
naive-estacional,111.47,67.07,30.37,11,5.0,categoria,semanal,245335312.37,Revestimientos murales
media-movil-8,148.96,64.82,36.55,11,6.0,categoria,semanal,21118242.02,Perfiles y terminaciones
naive-estacional,135.62,70.34,51.53,11,6.0,categoria,semanal,21118242.02,Perfiles y terminaciones
media-movil-8,105.5,50.33,26.11,11,7.0,categoria,semanal,22485370.1,Adhesivos
naive-estacional,70.5,61.61,32.16,11,7.0,categoria,semanal,22485370.1,Adhesivos
media-movil-8,81.25,287.5,125.0,11,8.0,categoria,semanal,4038126.04,Maderas
naive-estacional,50.0,675.0,575.0,11,8.0,categoria,semanal,4038126.04,Maderas
media-movil-8,,,,11,9.0,categoria,semanal,11164857.03,Aislación
naive-estacional,,,,11,9.0,categoria,semanal,11164857.03,Aislación
media-movil-8,91.85,219.71,112.99,11,10.0,categoria,semanal,20981890.72,Accesorios
naive-estacional,93.33,454.25,325.65,11,10.0,categoria,semanal,20981890.72,Accesorios
