serie_id,nombre,clase,modelo,ventana,error_semanas
1.0,SPC DARK,A,ets-damped,4,1
1.0,SPC DARK,A,ets-damped,8,2
1.0,SPC DARK,A,ets-damped,4,2
1.0,SPC DARK,A,ets-damped,8,0
1.0,SPC DARK,A,ets-damped,4,3
1.0,SPC DARK,A,ets-damped,8,1
1.0,SPC DARK,A,ets-damped,4,1
1.0,SPC DARK,A,ets-damped,8,0
1.0,SPC DARK,A,ets-damped,4,2
1.0,SPC DARK,A,ets-damped,8,4
1.0,SPC DARK,A,ets-damped,4,8
1.0,SPC DARK,A,ets-damped,8,4
1.0,SPC DARK,A,ets-damped,4,2
1.0,SPC DARK,A,ets-damped,8,2
1.0,SPC DARK,A,ets-damped,4,3
1.0,SPC DARK,A,ets-damped,8,7
1.0,SPC DARK,A,ets-damped,8,4
1.0,SPC DARK,A,ets-damped,4,8
1.0,SPC DARK,A,ets-damped,8,4
1.0,SPC DARK,A,ets-damped,4,2
1.0,SPC DARK,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,8
2.0,SPC MEDIUM,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,1
2.0,SPC MEDIUM,A,ets-damped,8,1
2.0,SPC MEDIUM,A,ets-damped,4,2
2.0,SPC MEDIUM,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,3
2.0,SPC MEDIUM,A,ets-damped,8,1
2.0,SPC MEDIUM,A,ets-damped,4,3
2.0,SPC MEDIUM,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,8
2.0,SPC MEDIUM,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,3
2.0,SPC MEDIUM,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,1
2.0,SPC MEDIUM,A,ets-damped,8,3
2.0,SPC MEDIUM,A,ets-damped,4,3
2.0,SPC MEDIUM,A,ets-damped,8,2
2.0,SPC MEDIUM,A,ets-damped,4,0
2.0,SPC MEDIUM,A,ets-damped,8,4
2.0,SPC MEDIUM,A,ets-damped,4,6
2.0,SPC MEDIUM,A,ets-damped,8,3
3.0,SPC GREY,A,ets-damped,4,5
3.0,SPC GREY,A,ets-damped,8,4
3.0,SPC GREY,A,ets-damped,4,0
3.0,SPC GREY,A,ets-damped,8,2
3.0,SPC GREY,A,ets-damped,4,2
3.0,SPC GREY,A,ets-damped,8,0
3.0,SPC GREY,A,ets-damped,4,1
3.0,SPC GREY,A,ets-damped,8,4
3.0,SPC GREY,A,ets-damped,4,8
3.0,SPC GREY,A,ets-damped,8,4
3.0,SPC GREY,A,ets-damped,4,6
3.0,SPC GREY,A,ets-damped,8,4
3.0,SPC GREY,A,ets-damped,4,1
3.0,SPC GREY,A,ets-damped,8,3
3.0,SPC GREY,A,ets-damped,8,5
3.0,SPC GREY,A,ets-damped,4,1
3.0,SPC GREY,A,ets-damped,8,4
3.0,SPC GREY,A,ets-damped,4,8
3.0,SPC GREY,A,ets-damped,8,4
4.0,Terc Estr 15mm,A,ets-damped,4,2
4.0,Terc Estr 15mm,A,ets-damped,8,6
4.0,Terc Estr 15mm,A,ets-damped,4,0
4.0,Terc Estr 15mm,A,ets-damped,8,1
4.0,Terc Estr 15mm,A,ets-damped,4,8
4.0,Terc Estr 15mm,A,ets-damped,8,4
4.0,Terc Estr 15mm,A,ets-damped,4,4
4.0,Terc Estr 15mm,A,ets-damped,8,3
4.0,Terc Estr 15mm,A,ets-damped,4,2
4.0,Terc Estr 15mm,A,ets-damped,8,2
4.0,Terc Estr 15mm,A,ets-damped,4,6
4.0,Terc Estr 15mm,A,ets-damped,8,4
4.0,Terc Estr 15mm,A,ets-damped,4,3
4.0,Terc Estr 15mm,A,ets-damped,8,7
4.0,Terc Estr 15mm,A,ets-damped,8,4
4.0,Terc Estr 15mm,A,ets-damped,4,8
4.0,Terc Estr 15mm,A,ets-damped,8,4
4.0,Terc Estr 15mm,A,ets-damped,4,8
4.0,Terc Estr 15mm,A,ets-damped,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,4,5
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,1
5.0,Terc Estr 15mm 2da,BC,naive-estacional,4,1
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,4,8
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,4,8
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,4,7
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,4
5.0,Terc Estr 15mm 2da,BC,naive-estacional,4,3
5.0,Terc Estr 15mm 2da,BC,naive-estacional,8,1
6.0,Terc Estr 18mm N,A,lgbm-global,8,4
6.0,Terc Estr 18mm N,A,lgbm-global,4,8
6.0,Terc Estr 18mm N,A,lgbm-global,8,4
6.0,Terc Estr 18mm N,A,lgbm-global,4,8
6.0,Terc Estr 18mm N,A,lgbm-global,8,4
6.0,Terc Estr 18mm N,A,lgbm-global,4,2
6.0,Terc Estr 18mm N,A,lgbm-global,8,2
6.0,Terc Estr 18mm N,A,lgbm-global,8,2
6.0,Terc Estr 18mm N,A,lgbm-global,4,8
6.0,Terc Estr 18mm N,A,lgbm-global,8,4
6.0,Terc Estr 18mm N,A,lgbm-global,4,2
6.0,Terc Estr 18mm N,A,lgbm-global,8,6
6.0,Terc Estr 18mm N,A,lgbm-global,4,3
6.0,Terc Estr 18mm N,A,lgbm-global,8,7
7.0,Terc Estr 18mm 2da,BC,media-movil-8,8,4
7.0,Terc Estr 18mm 2da,BC,media-movil-8,4,8
7.0,Terc Estr 18mm 2da,BC,media-movil-8,8,4
7.0,Terc Estr 18mm 2da,BC,media-movil-8,8,4
7.0,Terc Estr 18mm 2da,BC,media-movil-8,4,8
7.0,Terc Estr 18mm 2da,BC,media-movil-8,8,4
10.0,PANEL CIPRES,A,lgbm-global,4,6
10.0,PANEL CIPRES,A,lgbm-global,8,4
10.0,PANEL CIPRES,A,lgbm-global,4,2
10.0,PANEL CIPRES,A,lgbm-global,8,1
10.0,PANEL CIPRES,A,lgbm-global,4,5
10.0,PANEL CIPRES,A,lgbm-global,8,4
10.0,PANEL CIPRES,A,lgbm-global,4,1
10.0,PANEL CIPRES,A,lgbm-global,8,0
10.0,PANEL CIPRES,A,lgbm-global,4,2
10.0,PANEL CIPRES,A,lgbm-global,8,4
10.0,PANEL CIPRES,A,lgbm-global,4,3
10.0,PANEL CIPRES,A,lgbm-global,8,2
10.0,PANEL CIPRES,A,lgbm-global,4,2
10.0,PANEL CIPRES,A,lgbm-global,8,1
10.0,PANEL CIPRES,A,lgbm-global,4,5
10.0,PANEL CIPRES,A,lgbm-global,8,4
10.0,PANEL CIPRES,A,lgbm-global,4,1
10.0,PANEL CIPRES,A,lgbm-global,8,4
10.0,PANEL CIPRES,A,lgbm-global,4,3
10.0,PANEL CIPRES,A,lgbm-global,8,2
10.0,PANEL CIPRES,A,lgbm-global,4,1
10.0,PANEL CIPRES,A,lgbm-global,8,3
11.0,PANEL BLACK,A,lgbm-global,4,1
11.0,PANEL BLACK,A,lgbm-global,8,5
11.0,PANEL BLACK,A,lgbm-global,4,3
11.0,PANEL BLACK,A,lgbm-global,8,7
11.0,PANEL BLACK,A,lgbm-global,4,3
11.0,PANEL BLACK,A,lgbm-global,8,7
11.0,PANEL BLACK,A,lgbm-global,8,7
11.0,PANEL BLACK,A,lgbm-global,4,3
11.0,PANEL BLACK,A,lgbm-global,8,4
11.0,PANEL BLACK,A,lgbm-global,4,1
11.0,PANEL BLACK,A,lgbm-global,8,4
11.0,PANEL BLACK,A,lgbm-global,4,8
11.0,PANEL BLACK,A,lgbm-global,8,4
11.0,PANEL BLACK,A,lgbm-global,4,0
11.0,PANEL BLACK,A,lgbm-global,8,4
11.0,PANEL BLACK,A,lgbm-global,8,7
11.0,PANEL BLACK,A,lgbm-global,4,3
11.0,PANEL BLACK,A,lgbm-global,8,7
12.0,PANEL NEW BLACK,BC,media-movil-8,8,4
12.0,PANEL NEW BLACK,BC,media-movil-8,4,8
