periodo,cantidad,monto_neto,categoria
2022-06-01,1183.0,3568882.35,Accesorios
2022-07-01,437.0,1318344.53,Accesorios
2022-08-01,1037.0,3128428.58,Accesorios
2022-09-01,341.0,1028731.12,Accesorios
2022-10-01,412.0,1242924.37,Accesorios
2022-11-01,802.0,2419478.98,Accesorios
2022-12-01,569.0,1716563.03,Accesorios
2023-01-01,363.0,1095100.84,Accesorios
2023-02-01,366.0,1104151.27,Accesorios
2023-03-01,174.0,524924.3600000001,Accesorios
2023-04-01,126.0,380117.64,Accesorios
2023-05-01,60.0,181008.41,Accesorios
2023-06-01,7.0,21117.65,Accesorios
2023-07-01,33.0,99554.61,Accesorios
2023-08-01,58.0,174974.78999999998,Accesorios
2023-09-01,32.0,96537.81,Accesorios
2023-10-01,35.0,105588.23,Accesorios
2023-11-01,0.0,0.0,Accesorios
2023-12-01,77.0,232294.12,Accesorios
2024-01-01,89.0,268495.8,Accesorios
2024-02-01,6.0,18100.84,Accesorios
2024-03-01,101.0,304697.48,Accesorios
2024-04-01,20.0,60336.13,Accesorios
2024-05-01,10.0,30168.07,Accesorios
2024-06-01,25.0,75420.16,Accesorios
2024-07-01,1.0,3016.81,Accesorios
2024-08-01,66.0,199109.24,Accesorios
2024-09-01,3.0,9050.42,Accesorios
2024-10-01,134.0,404252.11,Accesorios
2024-11-01,23.0,69386.55,Accesorios
2024-12-01,35.0,105588.23,Accesorios
2025-01-01,22.0,66369.73999999999,Accesorios
2025-02-01,53.0,159890.75,Accesorios
2025-03-01,63.0,190058.83,Accesorios
2025-04-01,24.0,72403.36,Accesorios
2025-05-01,42.0,126705.87999999999,Accesorios
2025-06-01,9.0,27151.260000000002,Accesorios
2025-07-01,9.0,27151.260000000002,Accesorios
2025-08-01,16.0,48268.91,Accesorios
2025-09-01,24.0,72403.35,Accesorios
2025-10-01,36.0,108605.04000000001,Accesorios
2025-11-01,2.0,6033.61,Accesorios
2025-12-01,15.0,45252.1,Accesorios
2026-01-01,0.0,0.0,Accesorios
2026-02-01,15.0,45252.1,Accesorios
2026-03-01,0.0,0.0,Accesorios
2026-04-01,0.0,0.0,Accesorios
2026-05-01,0.0,0.0,Accesorios
2026-06-01,0.0,0.0,Accesorios
2026-07-01,0.0,0.0,Accesorios
2024-02-01,229.0,1126058.82,Adhesivos
2024-03-01,170.0,832016.82,Adhesivos
2024-04-01,80.0,278403.37,Adhesivos
2024-05-01,42.0,333008.41,Adhesivos
2024-06-01,141.0,758310.96,Adhesivos
2024-07-01,163.0,681151.29,Adhesivos
2024-08-01,52.0,206958.00999999998,Adhesivos
2024-09-01,116.0,591546.24,Adhesivos
2024-10-01,94.0,408453.8,Adhesivos
2024-11-01,81.0,400075.64,Adhesivos
2024-12-01,86.0,541126.08,Adhesivos
2025-01-01,262.0,1544857.17,Adhesivos
2025-02-01,250.0,1400588.24,Adhesivos
2025-03-01,140.0,768319.35,Adhesivos
2025-04-01,199.0,977571.4400000001,Adhesivos
2025-05-01,74.0,471815.14,Adhesivos
2025-06-01,148.0,709848.74,Adhesivos
2025-07-01,119.0,701521.02,Adhesivos
2025-08-01,220.0,1285546.24,Adhesivos
2025-09-01,194.0,1006773.1,Adhesivos
2025-10-01,187.0,1221958.01,Adhesivos
2025-11-01,115.0,731806.7,Adhesivos
2025-12-01,186.0,1003479.0,Adhesivos
2026-01-01,224.0,1241815.15,Adhesivos
2026-02-01,140.0,812268.92,Adhesivos
2026-03-01,188.0,885815.13,Adhesivos
2026-04-01,122.0,788890.76,Adhesivos
2026-05-01,110.0,647815.13,Adhesivos
2026-06-01,19.0,127571.42,Adhesivos
2026-07-01,0.0,0.0,Adhesivos
2022-11-01,7.0,99941.17,Aislación
2022-12-01,55.0,785252.0900000001,Aislación
2023-01-01,69.0,985134.46,Aislación
2023-02-01,19.0,271268.9,Aislación
2023-03-01,19.0,271268.89,Aislación
2023-04-01,22.0,314100.83999999997,Aislación
2023-05-01,14.0,199882.34999999998,Aislación
2023-06-01,17.0,242714.29,Aislación
2023-07-01,18.0,256991.59,Aislación
2023-08-01,1.0,14277.31,Aislación
2023-09-01,1.0,14277.31,Aislación
2023-10-01,1.0,14277.31,Aislación
2023-11-01,0.0,0.0,Aislación
2023-12-01,0.0,0.0,Aislación
2024-01-01,13.0,185605.03999999998,Aislación
2024-02-01,0.0,0.0,Aislación
2024-03-01,31.0,442596.63999999996,Aislación
2024-04-01,3.0,42831.93,Aislación
2024-05-01,10.0,142773.11,Aislación
2024-06-01,1.0,14277.31,Aislación
2024-07-01,7.0,99941.17,Aislación
2024-08-01,2.0,28554.62,Aislación
2024-09-01,11.0,157050.41999999998,Aislación
2024-10-01,7.0,99941.17,Aislación
2024-11-01,5.0,71386.55,Aislación
2024-12-01,9.0,128495.79000000001,Aislación
2025-01-01,12.0,171327.72,Aislación
2025-02-01,37.0,528260.49,Aislación
2025-03-01,28.0,399764.69999999995,Aislación
2025-04-01,67.0,956579.83,Aislación
2025-05-01,201.0,2869739.49,Aislación
2025-06-01,95.0,1356344.54,Aislación
2025-07-01,0.0,0.0,Aislación
2025-08-01,0.0,0.0,Aislación
