periodo,cantidad,monto_neto,producto_id,codigo,nombre,categoria
2022-06-01,155.0,4582008.4,1,SPC-DARK,SPC DARK,Pisos SPC
2022-07-01,95.0,2808327.7199999997,1,SPC-DARK,SPC DARK,Pisos SPC
2022-08-01,33.0,975524.3700000001,1,SPC-DARK,SPC DARK,Pisos SPC
2022-09-01,4.0,118245.38,1,SPC-DARK,SPC DARK,Pisos SPC
2022-10-01,297.0,8779719.319999998,1,SPC-DARK,SPC DARK,Pisos SPC
2022-11-01,101.0,2985695.79,1,SPC-DARK,SPC DARK,Pisos SPC
2022-12-01,86.0,2542275.62,1,SPC-DARK,SPC DARK,Pisos SPC
2023-01-01,188.0,5557532.78,1,SPC-DARK,SPC DARK,Pisos SPC
2023-02-01,70.0,2069294.12,1,SPC-DARK,SPC DARK,Pisos SPC
2023-03-01,86.0,2542275.63,1,SPC-DARK,SPC DARK,Pisos SPC
2023-04-01,143.0,4227272.27,1,SPC-DARK,SPC DARK,Pisos SPC
2023-05-01,264.0,7804194.97,1,SPC-DARK,SPC DARK,Pisos SPC
2023-06-01,18.0,532104.2,1,SPC-DARK,SPC DARK,Pisos SPC
2023-07-01,12.0,354736.14,1,SPC-DARK,SPC DARK,Pisos SPC
2023-08-01,19.0,561665.54,1,SPC-DARK,SPC DARK,Pisos SPC
2023-09-01,14.0,413858.82,1,SPC-DARK,SPC DARK,Pisos SPC
2023-10-01,65.0,1921487.39,1,SPC-DARK,SPC DARK,Pisos SPC
2023-11-01,28.0,827717.6399999999,1,SPC-DARK,SPC DARK,Pisos SPC
2023-12-01,26.0,768594.96,1,SPC-DARK,SPC DARK,Pisos SPC
2024-01-01,102.0,3015257.13,1,SPC-DARK,SPC DARK,Pisos SPC
2024-02-01,206.5,6104417.62,1,SPC-DARK,SPC DARK,Pisos SPC
2024-03-01,103.0,3044818.4699999997,1,SPC-DARK,SPC DARK,Pisos SPC
2024-04-01,107.0,3163063.87,1,SPC-DARK,SPC DARK,Pisos SPC
2024-05-01,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-06-01,227.0,6710425.199999999,1,SPC-DARK,SPC DARK,Pisos SPC
2024-07-01,103.0,3044818.48,1,SPC-DARK,SPC DARK,Pisos SPC
2024-08-01,18.0,532104.19,1,SPC-DARK,SPC DARK,Pisos SPC
2024-09-01,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-10-01,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-11-01,27.0,798156.3,1,SPC-DARK,SPC DARK,Pisos SPC
2024-12-01,10.0,295613.45,1,SPC-DARK,SPC DARK,Pisos SPC
2025-01-01,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2025-02-01,119.0,3517800.0,1,SPC-DARK,SPC DARK,Pisos SPC
2025-03-01,59.0,1744119.32,1,SPC-DARK,SPC DARK,Pisos SPC
2025-04-01,109.0,3222186.5599999996,1,SPC-DARK,SPC DARK,Pisos SPC
2025-05-01,44.0,1300699.16,1,SPC-DARK,SPC DARK,Pisos SPC
2025-06-01,58.0,1714557.98,1,SPC-DARK,SPC DARK,Pisos SPC
2025-07-01,51.0,1507628.57,1,SPC-DARK,SPC DARK,Pisos SPC
2025-08-01,109.0,3222186.56,1,SPC-DARK,SPC DARK,Pisos SPC
2025-09-01,36.0,1064208.4,1,SPC-DARK,SPC DARK,Pisos SPC
2025-10-01,117.0,3458677.32,1,SPC-DARK,SPC DARK,Pisos SPC
2025-11-01,266.0,7863317.65,1,SPC-DARK,SPC DARK,Pisos SPC
2025-12-01,70.0,2069294.1099999999,1,SPC-DARK,SPC DARK,Pisos SPC
2026-01-01,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
