periodo,cantidad,monto_neto,categoria
2022-05-30,186.0,561126.05,Accesorios
2022-06-06,4.0,12067.23,Accesorios
2022-06-13,192.0,579226.89,Accesorios
2022-06-20,731.0,2205285.71,Accesorios
2022-06-27,70.0,211176.47,Accesorios
2022-07-04,96.0,289613.44,Accesorios
2022-07-11,5.0,15084.03,Accesorios
2022-07-18,67.0,202126.05000000002,Accesorios
2022-07-25,269.0,811521.01,Accesorios
2022-08-01,347.0,1046831.94,Accesorios
2022-08-08,429.0,1294210.0899999999,Accesorios
2022-08-15,35.0,105588.23,Accesorios
2022-08-22,193.0,582243.7000000001,Accesorios
2022-08-29,183.0,552075.64,Accesorios
2022-09-05,15.0,45252.1,Accesorios
2022-09-12,0.0,0.0,Accesorios
2022-09-19,119.0,359000.01,Accesorios
2022-09-26,57.0,171957.99,Accesorios
2022-10-03,20.0,60336.13,Accesorios
2022-10-10,140.0,422352.93,Accesorios
2022-10-17,139.0,419336.15,Accesorios
2022-10-24,113.0,340899.16,Accesorios
2022-10-31,139.0,419336.13,Accesorios
2022-11-07,246.0,742134.44,Accesorios
2022-11-14,309.0,932193.28,Accesorios
2022-11-21,51.0,153857.15,Accesorios
2022-11-28,57.0,171957.98,Accesorios
2022-12-05,18.0,54302.52,Accesorios
2022-12-12,119.0,359000.0,Accesorios
2022-12-19,102.0,307714.29000000004,Accesorios
2022-12-26,330.0,995546.22,Accesorios
2023-01-02,81.0,244361.34999999998,Accesorios
2023-01-09,105.0,316764.7,Accesorios
2023-01-16,49.0,147823.53,Accesorios
2023-01-23,121.0,365033.61,Accesorios
2023-01-30,19.0,57319.33,Accesorios
2023-02-06,154.0,464588.24,Accesorios
2023-02-13,105.0,316764.71,Accesorios
2023-02-20,80.0,241344.54,Accesorios
2023-02-27,84.0,253411.76,Accesorios
2023-03-06,9.0,27151.260000000002,Accesorios
2023-03-13,6.0,18100.84,Accesorios
2023-03-20,50.0,150840.33,Accesorios
2023-03-27,40.0,120672.27,Accesorios
2023-04-03,14.0,42235.29,Accesorios
2023-04-10,43.0,129722.69,Accesorios
2023-04-17,69.0,208159.66,Accesorios
2023-04-24,0.0,0.0,Accesorios
2023-05-01,0.0,0.0,Accesorios
2023-05-08,19.0,57319.33,Accesorios
2023-05-15,35.0,105588.24,Accesorios
2023-05-22,6.0,18100.84,Accesorios
2023-05-29,0.0,0.0,Accesorios
2023-06-05,0.0,0.0,Accesorios
2023-06-12,4.0,12067.23,Accesorios
2023-06-19,3.0,9050.42,Accesorios
2023-06-26,0.0,0.0,Accesorios
2023-07-03,20.0,60336.13,Accesorios
2023-07-10,6.0,18100.84,Accesorios
2023-07-17,5.0,15084.03,Accesorios
2023-07-24,2.0,6033.61,Accesorios
2023-07-31,6.0,18100.84,Accesorios
2023-08-07,7.0,21117.65,Accesorios
2023-08-14,0.0,0.0,Accesorios
2023-08-21,45.0,135756.3,Accesorios
2023-08-28,0.0,0.0,Accesorios
2023-09-04,0.0,0.0,Accesorios
2023-09-11,14.0,42235.29,Accesorios
2023-09-18,3.0,9050.42,Accesorios
2023-09-25,15.0,45252.1,Accesorios
2023-10-02,2.0,6033.61,Accesorios
2023-10-09,12.0,36201.68,Accesorios
2023-10-16,13.0,39218.49,Accesorios
2023-10-23,8.0,24134.45,Accesorios
2023-10-30,0.0,0.0,Accesorios
2023-11-06,0.0,0.0,Accesorios
2023-11-13,0.0,0.0,Accesorios
2023-11-20,0.0,0.0,Accesorios
2023-11-27,10.0,30168.07,Accesorios
2023-12-04,15.0,45252.1,Accesorios
2023-12-11,2.0,6033.61,Accesorios
2023-12-18,0.0,0.0,Accesorios
2023-12-25,50.0,150840.34,Accesorios
2024-01-01,41.0,123689.08,Accesorios
2024-01-08,14.0,42235.29,Accesorios
2024-01-15,0.0,0.0,Accesorios
2024-01-22,0.0,0.0,Accesorios
2024-01-29,34.0,102571.43,Accesorios
2024-02-05,0.0,0.0,Accesorios
2024-02-12,0.0,0.0,Accesorios
2024-02-19,6.0,18100.84,Accesorios
2024-02-26,20.0,60336.13,Accesorios
2024-03-04,10.0,30168.07,Accesorios
2024-03-11,66.0,199109.25,Accesorios
2024-03-18,0.0,0.0,Accesorios
2024-03-25,5.0,15084.03,Accesorios
2024-04-01,20.0,60336.13,Accesorios
2024-04-08,0.0,0.0,Accesorios
2024-04-15,0.0,0.0,Accesorios
2024-04-22,0.0,0.0,Accesorios
2024-04-29,0.0,0.0,Accesorios
2024-05-06,10.0,30168.07,Accesorios
2024-05-13,0.0,0.0,Accesorios
2024-05-20,0.0,0.0,Accesorios
2024-05-27,0.0,0.0,Accesorios
2024-06-03,0.0,0.0,Accesorios
2024-06-10,0.0,0.0,Accesorios
2024-06-17,0.0,0.0,Accesorios
2024-06-24,25.0,75420.16,Accesorios
2024-07-01,0.0,0.0,Accesorios
2024-07-08,0.0,0.0,Accesorios
2024-07-15,1.0,3016.81,Accesorios
2024-07-22,0.0,0.0,Accesorios
2024-07-29,0.0,0.0,Accesorios
2024-08-05,26.0,78436.97,Accesorios
2024-08-12,0.0,0.0,Accesorios
2024-08-19,19.0,57319.33,Accesorios
2024-08-26,21.0,63352.939999999995,Accesorios
2024-09-02,0.0,0.0,Accesorios
2024-09-09,2.0,6033.61,Accesorios
2024-09-16,0.0,0.0,Accesorios
2024-09-23,1.0,3016.81,Accesorios
2024-09-30,10.0,30168.07,Accesorios
2024-10-07,0.0,0.0,Accesorios
2024-10-14,0.0,0.0,Accesorios
2024-10-21,4.0,12067.23,Accesorios
2024-10-28,120.0,362016.81,Accesorios
2024-11-04,0.0,0.0,Accesorios
2024-11-11,0.0,0.0,Accesorios
2024-11-18,22.0,66369.73999999999,Accesorios
2024-11-25,1.0,3016.81,Accesorios
2024-12-02,33.0,99554.62,Accesorios
2024-12-09,0.0,0.0,Accesorios
2024-12-16,0.0,0.0,Accesorios
2024-12-23,2.0,6033.61,Accesorios
2024-12-30,2.0,6033.61,Accesorios
2025-01-06,0.0,0.0,Accesorios
2025-01-13,18.0,54302.520000000004,Accesorios
2025-01-20,2.0,6033.61,Accesorios
2025-01-27,0.0,0.0,Accesorios
2025-02-03,26.0,78436.97,Accesorios
2025-02-10,27.0,81453.78,Accesorios
2025-02-17,0.0,0.0,Accesorios
2025-02-24,0.0,0.0,Accesorios
2025-03-03,13.0,39218.49,Accesorios
2025-03-10,0.0,0.0,Accesorios
2025-03-17,40.0,120672.27,Accesorios
2025-03-24,10.0,30168.07,Accesorios
2025-03-31,0.0,0.0,Accesorios
2025-04-07,4.0,12067.23,Accesorios
2025-04-14,0.0,0.0,Accesorios
2025-04-21,20.0,60336.13,Accesorios
2025-04-28,9.0,27151.26,Accesorios
2025-05-05,0.0,0.0,Accesorios
2025-05-12,0.0,0.0,Accesorios
2025-05-19,15.0,45252.1,Accesorios
2025-05-26,18.0,54302.52,Accesorios
2025-06-02,0.0,0.0,Accesorios
2025-06-09,0.0,0.0,Accesorios
