periodo,cantidad,monto_neto,producto_id,codigo,nombre,categoria
2022-06-06,130.0,3842974.79,1,SPC-DARK,SPC DARK,Pisos SPC
2022-06-13,24.0,709472.27,1,SPC-DARK,SPC DARK,Pisos SPC
2022-06-20,1.0,29561.34,1,SPC-DARK,SPC DARK,Pisos SPC
2022-06-27,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-07-04,30.0,886840.3300000001,1,SPC-DARK,SPC DARK,Pisos SPC
2022-07-11,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-07-18,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-07-25,65.0,1921487.39,1,SPC-DARK,SPC DARK,Pisos SPC
2022-08-01,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-08-08,4.0,118245.38,1,SPC-DARK,SPC DARK,Pisos SPC
2022-08-15,2.0,59122.69,1,SPC-DARK,SPC DARK,Pisos SPC
2022-08-22,25.0,739033.61,1,SPC-DARK,SPC DARK,Pisos SPC
2022-08-29,2.0,59122.69,1,SPC-DARK,SPC DARK,Pisos SPC
2022-09-05,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-09-12,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-09-19,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-09-26,4.0,118245.38,1,SPC-DARK,SPC DARK,Pisos SPC
2022-10-03,48.0,1418944.53,1,SPC-DARK,SPC DARK,Pisos SPC
2022-10-10,21.0,620788.24,1,SPC-DARK,SPC DARK,Pisos SPC
2022-10-17,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-10-24,228.0,6739986.55,1,SPC-DARK,SPC DARK,Pisos SPC
2022-10-31,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2022-11-07,40.0,1182453.78,1,SPC-DARK,SPC DARK,Pisos SPC
2022-11-14,44.0,1300699.16,1,SPC-DARK,SPC DARK,Pisos SPC
2022-11-21,12.0,354736.13,1,SPC-DARK,SPC DARK,Pisos SPC
2022-11-28,6.0,177368.06,1,SPC-DARK,SPC DARK,Pisos SPC
2022-12-05,3.0,88684.03,1,SPC-DARK,SPC DARK,Pisos SPC
2022-12-12,27.0,798156.3,1,SPC-DARK,SPC DARK,Pisos SPC
2022-12-19,2.0,59122.69,1,SPC-DARK,SPC DARK,Pisos SPC
2022-12-26,53.0,1566751.26,1,SPC-DARK,SPC DARK,Pisos SPC
2023-01-02,130.0,3842974.79,1,SPC-DARK,SPC DARK,Pisos SPC
2023-01-09,19.0,561665.55,1,SPC-DARK,SPC DARK,Pisos SPC
2023-01-16,26.0,768594.96,1,SPC-DARK,SPC DARK,Pisos SPC
2023-01-23,13.0,384297.48,1,SPC-DARK,SPC DARK,Pisos SPC
2023-01-30,8.0,236490.76,1,SPC-DARK,SPC DARK,Pisos SPC
2023-02-06,44.0,1300699.1600000001,1,SPC-DARK,SPC DARK,Pisos SPC
2023-02-13,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-02-20,18.0,532104.2,1,SPC-DARK,SPC DARK,Pisos SPC
2023-02-27,7.0,206929.41,1,SPC-DARK,SPC DARK,Pisos SPC
2023-03-06,50.0,1478067.23,1,SPC-DARK,SPC DARK,Pisos SPC
2023-03-13,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-03-20,13.0,384297.48,1,SPC-DARK,SPC DARK,Pisos SPC
2023-03-27,18.0,532104.2,1,SPC-DARK,SPC DARK,Pisos SPC
2023-04-03,130.0,3842974.79,1,SPC-DARK,SPC DARK,Pisos SPC
2023-04-10,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-04-17,4.0,118245.38,1,SPC-DARK,SPC DARK,Pisos SPC
2023-04-24,7.0,206929.41,1,SPC-DARK,SPC DARK,Pisos SPC
2023-05-01,188.0,5557532.77,1,SPC-DARK,SPC DARK,Pisos SPC
2023-05-08,46.0,1359821.86,1,SPC-DARK,SPC DARK,Pisos SPC
2023-05-15,8.0,236490.76,1,SPC-DARK,SPC DARK,Pisos SPC
2023-05-22,22.0,650349.5800000001,1,SPC-DARK,SPC DARK,Pisos SPC
2023-05-29,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-06-05,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-06-12,16.0,472981.51,1,SPC-DARK,SPC DARK,Pisos SPC
2023-06-19,2.0,59122.69,1,SPC-DARK,SPC DARK,Pisos SPC
2023-06-26,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-07-03,2.0,59122.69,1,SPC-DARK,SPC DARK,Pisos SPC
2023-07-10,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-07-17,2.0,59122.69,1,SPC-DARK,SPC DARK,Pisos SPC
2023-07-24,8.0,236490.76,1,SPC-DARK,SPC DARK,Pisos SPC
2023-07-31,3.0,88684.03,1,SPC-DARK,SPC DARK,Pisos SPC
2023-08-07,16.0,472981.51,1,SPC-DARK,SPC DARK,Pisos SPC
2023-08-14,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-08-21,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-08-28,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-09-04,7.0,206929.41,1,SPC-DARK,SPC DARK,Pisos SPC
2023-09-11,6.0,177368.07,1,SPC-DARK,SPC DARK,Pisos SPC
2023-09-18,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-09-25,1.0,29561.34,1,SPC-DARK,SPC DARK,Pisos SPC
2023-10-02,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-10-09,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-10-16,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-10-23,65.0,1921487.39,1,SPC-DARK,SPC DARK,Pisos SPC
2023-10-30,5.0,147806.72,1,SPC-DARK,SPC DARK,Pisos SPC
2023-11-06,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-11-13,22.0,650349.58,1,SPC-DARK,SPC DARK,Pisos SPC
2023-11-20,1.0,29561.34,1,SPC-DARK,SPC DARK,Pisos SPC
2023-11-27,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-12-04,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-12-11,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2023-12-18,26.0,768594.96,1,SPC-DARK,SPC DARK,Pisos SPC
2023-12-25,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-01-01,6.0,177368.06,1,SPC-DARK,SPC DARK,Pisos SPC
2024-01-08,15.0,443420.17,1,SPC-DARK,SPC DARK,Pisos SPC
2024-01-15,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-01-22,63.0,1862364.7,1,SPC-DARK,SPC DARK,Pisos SPC
2024-01-29,24.0,709472.27,1,SPC-DARK,SPC DARK,Pisos SPC
2024-02-05,33.0,975524.37,1,SPC-DARK,SPC DARK,Pisos SPC
2024-02-12,113.5,3355212.59,1,SPC-DARK,SPC DARK,Pisos SPC
2024-02-19,49.0,1448505.88,1,SPC-DARK,SPC DARK,Pisos SPC
2024-02-26,17.0,502542.83999999997,1,SPC-DARK,SPC DARK,Pisos SPC
2024-03-04,1.0,29561.34,1,SPC-DARK,SPC DARK,Pisos SPC
2024-03-11,65.0,1921487.39,1,SPC-DARK,SPC DARK,Pisos SPC
2024-03-18,22.0,650349.58,1,SPC-DARK,SPC DARK,Pisos SPC
2024-03-25,3.0,88684.03,1,SPC-DARK,SPC DARK,Pisos SPC
2024-04-01,59.0,1744119.33,1,SPC-DARK,SPC DARK,Pisos SPC
2024-04-08,13.0,384297.48,1,SPC-DARK,SPC DARK,Pisos SPC
2024-04-15,35.0,1034647.06,1,SPC-DARK,SPC DARK,Pisos SPC
2024-04-22,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-04-29,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-05-06,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-05-13,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-05-20,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-05-27,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-06-03,65.0,1921487.39,1,SPC-DARK,SPC DARK,Pisos SPC
2024-06-10,27.0,798156.2999999999,1,SPC-DARK,SPC DARK,Pisos SPC
2024-06-17,135.0,3990781.5100000002,1,SPC-DARK,SPC DARK,Pisos SPC
2024-06-24,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-07-01,34.0,1005085.72,1,SPC-DARK,SPC DARK,Pisos SPC
2024-07-08,26.0,768594.95,1,SPC-DARK,SPC DARK,Pisos SPC
2024-07-15,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-07-22,3.0,88684.03,1,SPC-DARK,SPC DARK,Pisos SPC
2024-07-29,40.0,1182453.78,1,SPC-DARK,SPC DARK,Pisos SPC
2024-08-05,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-08-12,9.0,266052.08999999997,1,SPC-DARK,SPC DARK,Pisos SPC
2024-08-19,9.0,266052.10000000003,1,SPC-DARK,SPC DARK,Pisos SPC
2024-08-26,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-09-02,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
2024-09-09,0.0,0.0,1,SPC-DARK,SPC DARK,Pisos SPC
