serie_id,modelo,mape,wape,mape_acum,n_folds,monto_total,nombre,nivel,granularidad
1.0,media-movil-8,76.69,46.93,30.87,6,264854865.93,Pisos SPC,categoria,mensual
1.0,naive-estacional,59.7,59.13,55.16,6,264854865.93,Pisos SPC,categoria,mensual
1.0,ets-damped,64.4,46.65,37.79,6,264854865.93,Pisos SPC,categoria,mensual
1.0,sarima-111-011-12,94.35,56.77,52.01,6,264854865.93,Pisos SPC,categoria,mensual
2.0,media-movil-8,303.18,86.11,50.43,6,231694731.07,Terciados,categoria,mensual
2.0,naive-estacional,151.77,53.23,27.82,6,231694731.07,Terciados,categoria,mensual
2.0,ets-damped,172.54,75.22,62.28,6,231694731.07,Terciados,categoria,mensual
2.0,sarima-111-011-12,138.42,60.88,51.3,6,231694731.07,Terciados,categoria,mensual
3.0,media-movil-8,53.32,47.48,37.66,6,421742613.57,Paneles exteriores,categoria,mensual
3.0,naive-estacional,36.67,34.77,27.88,6,421742613.57,Paneles exteriores,categoria,mensual
3.0,ets-damped,66.26,48.73,29.36,6,421742613.57,Paneles exteriores,categoria,mensual
4.0,media-movil-8,24.66,25.8,14.32,6,103400487.42,Paneles interiores,categoria,mensual
4.0,naive-estacional,48.47,45.41,31.08,6,103400487.42,Paneles interiores,categoria,mensual
4.0,ets-damped,25.14,24.94,11.12,6,103400487.42,Paneles interiores,categoria,mensual
5.0,media-movil-8,43.98,42.46,34.13,6,256681262.06,Revestimientos murales,categoria,mensual
5.0,naive-estacional,29.23,30.26,17.01,6,256681262.06,Revestimientos murales,categoria,mensual
5.0,ets-damped,65.4,59.86,56.78,6,256681262.06,Revestimientos murales,categoria,mensual
6.0,media-movil-8,29.92,30.45,26.08,6,37019983.01,Perfiles y terminaciones,categoria,mensual
6.0,naive-estacional,49.62,49.57,49.57,6,37019983.01,Perfiles y terminaciones,categoria,mensual
6.0,ets-damped,34.14,30.9,19.79,6,37019983.01,Perfiles y terminaciones,categoria,mensual
7.0,media-movil-8,26.07,24.22,7.62,6,23818831.99,Adhesivos,categoria,mensual
7.0,naive-estacional,43.02,41.04,12.34,6,23818831.99,Adhesivos,categoria,mensual
7.0,ets-damped,31.08,27.79,16.94,6,23818831.99,Adhesivos,categoria,mensual
8.0,media-movil-8,,,,6,4276890.72,Maderas,categoria,mensual
8.0,naive-estacional,,,,6,4276890.72,Maderas,categoria,mensual
8.0,ets-damped,,,,6,4276890.72,Maderas,categoria,mensual
8.0,sarima-111-011-12,,,,6,4276890.72,Maderas,categoria,mensual
9.0,media-movil-8,,,,6,11164857.03,Aislación,categoria,mensual
9.0,naive-estacional,,,,6,11164857.03,Aislación,categoria,mensual
9.0,ets-damped,,,,6,11164857.03,Aislación,categoria,mensual
10.0,media-movil-8,229.41,281.38,274.54,6,22819915.93,Accesorios,categoria,mensual
10.0,naive-estacional,287.43,584.04,576.43,6,22819915.93,Accesorios,categoria,mensual
10.0,ets-damped,905.8,483.28,443.89,6,22819915.93,Accesorios,categoria,mensual
10.0,sarima-111-011-12,146.82,226.77,159.72,6,22819915.93,Accesorios,categoria,mensual
