serie_id,modelo,mape,wape,mape_acum,n_folds,monto_total,nombre,nivel,granularidad
1.0,media-movil-8,285.43,108.9,78.63,10,271062748.29,Pisos SPC,categoria,semanal
1.0,naive-estacional,140.77,92.35,54.25,10,271062748.29,Pisos SPC,categoria,semanal
1.0,ets-damped,154.37,77.47,42.43,10,271062748.29,Pisos SPC,categoria,semanal
2.0,media-movil-8,487.93,352.98,322.58,10,233687899.15,Terciados,categoria,semanal
2.0,naive-estacional,291.02,144.76,120.46,10,233687899.15,Terciados,categoria,semanal
2.0,ets-damped,481.69,286.42,262.58,10,233687899.15,Terciados,categoria,semanal
3.0,media-movil-8,263.93,83.19,46.39,10,424644386.66,Paneles exteriores,categoria,semanal
3.0,naive-estacional,191.83,76.89,31.41,10,424644386.66,Paneles exteriores,categoria,semanal
3.0,ets-damped,259.6,81.83,50.26,10,424644386.66,Paneles exteriores,categoria,semanal
4.0,media-movil-8,90.8,46.28,12.1,10,106103537.84,Paneles interiores,categoria,semanal
4.0,naive-estacional,84.79,68.43,40.86,10,106103537.84,Paneles interiores,categoria,semanal
4.0,ets-damped,97.79,51.95,24.39,10,106103537.84,Paneles interiores,categoria,semanal
5.0,media-movil-8,91.24,52.36,33.7,10,261993984.79,Revestimientos murales,categoria,semanal
5.0,naive-estacional,87.46,65.67,27.53,10,261993984.79,Revestimientos murales,categoria,semanal
5.0,ets-damped,101.15,58.58,42.61,10,261993984.79,Revestimientos murales,categoria,semanal
6.0,media-movil-8,78.48,55.67,18.79,10,38957204.86,Perfiles y terminaciones,categoria,semanal
6.0,naive-estacional,58.97,64.29,52.72,10,38957204.86,Perfiles y terminaciones,categoria,semanal
6.0,ets-damped,89.99,60.55,31.47,10,38957204.86,Perfiles y terminaciones,categoria,semanal
7.0,media-movil-8,122.93,50.09,20.18,10,24520352.99,Adhesivos,categoria,semanal
7.0,naive-estacional,76.72,61.29,25.31,10,24520352.99,Adhesivos,categoria,semanal
7.0,ets-damped,123.01,50.6,20.54,10,24520352.99,Adhesivos,categoria,semanal
8.0,media-movil-8,,,,10,4276890.72,Maderas,categoria,semanal
8.0,naive-estacional,,,,10,4276890.72,Maderas,categoria,semanal
8.0,ets-damped,,,,10,4276890.72,Maderas,categoria,semanal
8.0,croston-sba,,,,10,4276890.72,Maderas,categoria,semanal
9.0,media-movil-8,,,,10,11164857.03,Aislación,categoria,semanal
9.0,naive-estacional,,,,10,11164857.03,Aislación,categoria,semanal
9.0,ets-damped,,,,10,11164857.03,Aislación,categoria,semanal
9.0,croston-sba,,,,10,11164857.03,Aislación,categoria,semanal
10.0,media-movil-8,96.74,212.08,113.03,10,22888739.46,Accesorios,categoria,semanal
10.0,naive-estacional,90.82,680.1,543.81,10,22888739.46,Accesorios,categoria,semanal
10.0,ets-damped,90.59,133.72,97.5,10,22888739.46,Accesorios,categoria,semanal
10.0,croston-sba,79.58,353.96,223.13,10,22888739.46,Accesorios,categoria,semanal
