serie_id,modelo,mape,wape,mape_acum,n_folds,monto_total,nombre,nivel,granularidad
1.0,media-movil-8,584.19,147.49,102.65,10,138893977.21,SPC DARK,producto,semanal
1.0,naive-estacional,129.97,110.13,60.96,10,138893977.21,SPC DARK,producto,semanal
1.0,ets-damped,276.73,106.11,47.46,10,138893977.21,SPC DARK,producto,semanal
1.0,croston-sba,429.11,125.73,62.8,10,138893977.21,SPC DARK,producto,semanal
2.0,media-movil-8,113.1,108.55,43.8,10,52027966.28,SPC MEDIUM,producto,semanal
2.0,naive-estacional,119.39,124.28,47.94,10,52027966.28,SPC MEDIUM,producto,semanal
2.0,ets-damped,82.07,94.75,36.15,10,52027966.28,SPC MEDIUM,producto,semanal
2.0,croston-sba,97.5,100.2,34.3,10,52027966.28,SPC MEDIUM,producto,semanal
3.0,media-movil-8,154.91,222.88,195.94,10,80140804.8,SPC GREY,producto,semanal
3.0,naive-estacional,129.61,168.91,107.44,10,80140804.8,SPC GREY,producto,semanal
3.0,ets-damped,87.13,128.23,85.74,10,80140804.8,SPC GREY,producto,semanal
3.0,croston-sba,125.16,177.57,133.16,10,80140804.8,SPC GREY,producto,semanal
4.0,media-movil-8,56.39,308.37,263.23,10,70836840.48,Terc Estr 15mm,producto,semanal
4.0,naive-estacional,294.41,690.59,605.21,10,70836840.48,Terc Estr 15mm,producto,semanal
4.0,ets-damped,95.65,353.02,306.23,10,70836840.48,Terc Estr 15mm,producto,semanal
5.0,media-movil-8,91.67,179.88,96.43,10,5856579.82,Terc Estr 15mm 2da,producto,semanal
5.0,naive-estacional,88.57,129.05,74.76,10,5856579.82,Terc Estr 15mm 2da,producto,semanal
5.0,ets-damped,90.71,190.7,114.55,10,5856579.82,Terc Estr 15mm 2da,producto,semanal
5.0,croston-sba,86.72,222.57,104.94,10,5856579.82,Terc Estr 15mm 2da,producto,semanal
6.0,media-movil-8,211.74,608.08,577.48,10,142024831.84,Terc Estr 18mm N,producto,semanal
6.0,naive-estacional,58.06,61.05,47.82,10,142024831.84,Terc Estr 18mm N,producto,semanal
