producto_id,prev_acum,real_acum,err_abs,cobertura_int,codigo,nombre,clase,monto,ape_acum,wape
1,222.1,325.0,244.4,0.7,SPC-DARK,SPC DARK,A,138893977.2,31.7,75.2
2,74.7,102.0,116.4,0.4,SPC-MEDIUM,SPC MEDIUM,A,52027966.3,26.8,114.1
3,121.3,196.0,100.8,0.9,SPC-GREY,SPC GREY,A,80140804.8,38.1,51.5
4,15.0,162.0,156.8,0.5,TERC-EST-15,Terc Estr 15mm,A,70836840.5,90.7,96.8
5,9.0,0.0,9.0,0.7,TERC-EST-15-2DA,Terc Estr 15mm 2da,B,9844235.4,,
6,0.0,0.0,0.0,1.0,TERC-EST-18N,Terc Estr 18mm N,A,136104664.1,,
7,1.4,0.0,1.4,1.0,TERC-EST-18-2DA,Terc Estr 18mm 2da,B,13952176.5,,
9,0.0,0.0,0.0,1.0,TERC-RAN-9,Terc Ran 9mm,C,352764.7,,
10,110.9,283.0,283.2,0.8,PANEL-CIPRES,PANEL CIPRES,A,158901588.2,60.8,100.1
11,10.3,0.0,10.3,0.5,PANEL-BLACK,PANEL BLACK,A,51864873.9,,
12,451.0,266.0,337.0,0.5,PANEL-NEW-BLACK,PANEL NEW BLACK,B,20474092.4,69.5,126.7
13,4.7,213.0,208.3,0.8,PANEL-GREY,PANEL GREY,A,132400353.0,97.8,97.8
14,41.8,41.0,58.6,0.9,PANEL-ALERCE,PANEL ALERCE,A,60803176.5,2.0,142.9
16,191.9,442.0,355.1,0.6,ELM-LIGHT,ELM Light Claro,A,31394647.1,56.6,80.3
17,0.3,48.0,48.3,0.5,ELM-GREY,ELM Grey,C,6191344.5,99.4,100.6
18,74.3,453.0,388.2,0.6,ELM-AGED,ELM AGED,B,15377689.0,83.6,85.7
19,16.9,83.0,78.8,0.9,ELM-BLACK,ELM Black,C,1600689.1,79.7,95.0
20,0.0,0.0,0.0,1.0,T111-TEAK,T1-11 Teak,C,6961008.4,,
21,1.3,550.0,549.4,0.5,T111-CHERRY,T1-11 Cherry,B,14748487.4,99.8,99.9
22,209.0,479.0,536.0,0.6,T111-DARK,T1-11 Dark,B,21367689.1,56.4,111.9
23,131.8,330.0,307.6,0.8,T111-LIGHT,T1-11 Light,B,8386000.0,60.1,93.2
24,0.4,0.0,0.4,1.0,WALLTEX-BLANCO,WALL tex blanco,C,1005379.4,,
25,0.0,0.0,0.0,1.0,WALLTEX-CAFE,WALL tex café,C,7878411.8,,
26,177.3,244.0,127.9,0.7,MARMO-BLANCA,Marmolisima Blanca,A,109567765.2,27.3,52.4
27,131.2,172.0,88.9,0.6,MARMO-GRIS,Marmolisima Gris,A,62410210.5,23.7,51.7
28,0.3,22.0,22.3,0.9,MARMO-TRAVERTINO,Marmolisima Travertino,B,13853067.3,98.6,101.2
29,50.2,33.0,51.0,0.8,MARMO-NEGRA,Marmolisima Negra,B,20308311.2,52.1,154.6
30,89.5,35.0,60.0,1.0,MARMO-AZUL,Marmolisima Azul,A,26078042.2,155.8,171.4
32,93.5,83.0,132.5,0.9,MARMOL-SPC-3MM,Marmol SPC 3mm,C,5355000.0,12.7,159.6
33,1.1,15.0,16.0,0.9,PANEL-WHITE-INT,Panel White Interior,B,11534764.7,92.5,106.5
34,0.0,0.0,0.0,1.0,PANEL-ROCA-LIGHT,Panel Roca Light,C,0.0,,
35,0.0,14.0,14.0,0.8,PANEL-ROCA-BLACK,Panel Roca Black,C,915050.4,100.0,100.0
36,0.0,0.0,0.0,1.0,SEPARADOR-AMB,Separador de Ambiente,C,315571.4,,
37,192.5,238.0,130.5,0.8,PERFIL-H-GREY,Perfil H Grey,B,10030319.2,19.1,54.8
38,53.7,17.0,39.4,0.9,PERFIL-H-GOLD,Perfil H Gold,C,3354621.8,215.8,231.8
39,81.2,105.0,39.6,0.8,PERFIL-E-GREY,Perfil E Grey,C,2008579.7,22.7,37.7
40,4.2,1.0,4.4,1.0,PERFIL-E-GOLD,Perfil E Gold,C,385781.5,318.0,442.0
41,0.0,19.0,19.0,0.9,PERFIL-ITS-V-CIPRES,Perfil ITSPANEL V Cipres,C,959437.0,99.8,100.2
42,2.8,15.0,15.8,0.6,PERFIL-ITS-V-ALERCE,Perfil ITSPANEL V Alerce,C,0.0,81.7,105.0
43,6.9,18.0,19.9,0.9,PERFIL-ITS-V-GRIS,Perfil ITSPANEL V Gris,C,428798.4,61.5,110.5
44,12.0,16.0,18.8,0.9,PERFIL-ITS-V-NEGRO,Perfil ITSPANEL V Negro,C,604369.8,25.2,117.4
45,6.9,0.0,6.9,0.6,PERFIL-ITS-V-BLANCO,Perfil ITSPANEL V Blanco,C,241747.9,,
46,45.4,59.0,67.6,0.8,PERFIL-ITS-J-CIPRES,Perfil ITSPANEL J Cipres,C,3603554.6,23.0,114.7
47,0.0,17.0,17.0,0.5,PERFIL-ITS-J-ALERCE,Perfil ITSPANEL J Alerce,C,1125638.6,100.0,100.0
48,2.8,89.0,89.2,0.8,PERFIL-ITS-J-GRIS,Perfil ITSPANEL J Gris,C,2107739.5,96.9,100.3
49,55.0,49.0,66.0,0.7,PERFIL-ITS-J-NEGRO,Perfil ITSPANEL J Negro,C,1178521.0,12.2,134.7
50,1.4,0.0,1.4,1.0,PERFIL-ITS-J-BLANCO,Perfil ITSPANEL J Blanco,C,793235.3,,
51,12.4,4.0,14.2,1.0,PERFIL-ITS-H-GRIS,Perfil ITSPANEL H Gris,C,654806.7,210.8,354.2
52,1.4,5.0,5.9,0.9,PERFIL-ITS-H-CIPRES,Perfil ITSPANEL H Cipres,C,243453.8,71.4,118.2
53,5.5,7.0,9.5,0.9,PERFIL-ITS-H-NEGRO,Perfil ITSPANEL H Negro,C,201479.0,21.4,135.7
54,4.2,1.0,4.4,1.0,PERFIL-ITS-H-ALERCE,Perfil ITSPANEL H Alerce,C,184689.1,318.0,442.0
